,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,matchtype,year,not_out
411,61,85,65,5,0,93.84,5,not out,2,Sri Lanka,Dambulla,2009-01-28,ODI ,2009,1
412,29,101,73,3,0,39.72,7,caught,1, England,Mohali,2008-12-19,Test,2008,0
413,0,6,2,0,0,0.0,7,caught,3, England,Mohali,2008-12-19,Test,2008,0
414,53,162,82,5,0,64.63,7,caught,2, England,Chennai,2008-12-11,Test,2008,0
416,50,87,61,5,0,81.96,4,lbw,2,England,Cuttack,2008-11-26,ODI ,2008,0
417,9,5,5,0,1,180.0,5,bowled,1,England,Bengaluru,2008-11-23,ODI ,2008,0
418,29,70,51,4,0,56.86,6,not out,2,England,Kanpur,2008-11-20,ODI ,2008,1
419,15,31,26,1,0,57.69,6,bowled,1,England,Indore,2008-11-17,ODI ,2008,0
420,39,46,32,3,1,121.87,6,bowled,1,England,Rajkot,2008-11-14,ODI ,2008,0
421,56,158,97,4,0,57.73,7,bowled,1, Australia,Nagpur,2008-11-06,Test,2008,0
422,55,117,81,4,0,67.9,7,caught,3, Australia,Nagpur,2008-11-06,Test,2008,0
423,27,30,29,4,1,93.1,7,caught,1, Australia,Delhi,2008-10-29,Test,2008,0
425,92,176,124,8,4,74.19,8,lbw,1, Australia,Mohali,2008-10-17,Test,2008,0
426,68,107,84,3,1,80.95,3,not out,3, Australia,Mohali,2008-10-17,Test,2008,1
427,9,65,51,0,0,17.64,7,bowled,2, Australia,Bengaluru,2008-10-09,Test,2008,0
429,1,17,7,0,0,14.28,6,bowled,2,Sri Lanka,Colombo (RPS),2008-08-29,ODI ,2008,0
430,71,104,80,4,0,88.75,5,caught,1,Sri Lanka,Colombo (RPS),2008-08-27,ODI ,2008,0
431,76,99,80,8,0,95.0,6,caught,1,Sri Lanka,Colombo (RPS),2008-08-24,ODI ,2008,0
432,39,88,54,3,0,72.22,5,bowled,2,Sri Lanka,Dambulla,2008-08-20,ODI ,2008,0
433,6,30,28,0,0,21.42,6,caught,1,Sri Lanka,Dambulla,2008-08-18,ODI ,2008,0
434,49,104,74,4,0,66.21,5,caught,2,Sri Lanka,Karachi,2008-07-06,ODI ,2008,0
435,67,78,62,5,1,108.06,4,bowled,2,Sri Lanka,Karachi,2008-07-03,ODI ,2008,0
436,76,150,96,4,0,79.16,5,caught,1,Pakistan,Karachi,2008-07-02,ODI ,2008,0
438,26,38,30,0,1,86.66,5,not out,2,Pakistan,Karachi,2008-06-26,ODI ,2008,1
439,109,121,96,6,6,113.54,4,not out,1,Hong Kong,Karachi,2008-06-25,ODI ,2008,1
440,64,95,59,3,2,108.47,7,caught,2,Pakistan,Mirpur,2008-06-14,ODI ,2008,0
442,24,23,23,5,0,104.34,6,lbw,1,Pakistan,Mirpur,2008-06-10,ODI ,2008,0
443,32,74,54,5,0,59.25,7,stumped,2, South Africa,Kanpur,2008-04-11,Test,2008,0
445,14,33,22,3,0,63.63,6,caught,1, South Africa,Ahmedabad,2008-04-03,Test,2008,0
446,52,200,132,5,0,39.39,6,caught,3, South Africa,Ahmedabad,2008-04-03,Test,2008,0
447,16,49,33,2,0,48.48,7,caught,2, South Africa,Chennai,2008-03-26,Test,2008,0
448,36,52,37,2,1,97.29,5,caught,1,Australia,Brisbane,2008-03-04,ODI ,2008,0
449,15,21,12,3,0,125.0,6,not out,2,Australia,Sydney,2008-03-02,ODI ,2008,1
451,36,84,66,4,0,54.54,6,caught,2,Australia,Sydney,2008-02-24,ODI ,2008,0
452,50,140,68,0,0,73.52,6,not out,2,Sri Lanka,Adelaide,2008-02-19,ODI ,2008,1
453,37,97,50,1,0,74.0,6,run out,2,Australia,Adelaide,2008-02-17,ODI ,2008,0
454,31,33,26,3,0,119.23,5,run out,1,Sri Lanka,Canberra,2008-02-12,ODI ,2008,0
455,17,72,54,0,0,31.48,7,not out,2,Australia,Melbourne,2008-02-10,ODI ,2008,1
456,88,124,95,5,1,92.63,6,not out,1,Sri Lanka,Brisbane,2008-02-05,ODI ,2008,1
457,37,102,61,1,0,60.65,6,caught,1,Australia,Brisbane,2008-02-03,ODI ,2008,0
458,9,30,27,0,0,33.33,6,caught,1, Australia,Melbourne,2008-02-01,T20I,2008,0
459,16,75,64,1,0,25.0,7,caught,1, Australia,Adelaide,2008-01-24,Test,2008,0
460,20,58,44,3,0,45.45,7,caught,3, Australia,Adelaide,2008-01-24,Test,2008,0
461,19,84,52,2,0,36.53,7,lbw,1, Australia,Perth,2008-01-16,Test,2008,0
462,38,100,87,2,2,43.67,8,caught,3, Australia,Perth,2008-01-16,Test,2008,0
463,2,19,13,0,0,15.38,7,caught,2, Australia,Sydney,2008-01-02,Test,2008,0
464,35,117,82,6,0,42.68,7,lbw,4, Australia,Sydney,2008-01-02,Test,2008,0
465,0,2,2,0,0,0.0,7,lbw,2, Australia,Melbourne,2007-12-26,Test,2007,0
466,11,32,32,2,0,34.37,7,caught,4, Australia,Melbourne,2007-12-26,Test,2007,0
467,50,95,82,6,1,60.97,7,not out,1, Pakistan,Kolkata,2007-11-30,Test,2007,1
468,37,92,61,2,0,60.65,3,bowled,3, Pakistan,Kolkata,2007-11-30,Test,2007,0
469,57,124,93,8,0,61.29,7,caught,2, Pakistan,Delhi,2007-11-22,Test,2007,0
471,24,53,32,1,0,75.0,7,caught,2,Pakistan,Jaipur,2007-11-18,ODI ,2007,0
472,45,72,45,3,1,100.0,6,not out,2,Pakistan,Gwalior,2007-11-15,ODI ,2007,1
473,49,61,52,4,2,94.23,5,bowled,1,Pakistan,Kanpur,2007-11-11,ODI ,2007,0
474,4,24,10,0,0,40.0,6,caught,1,Pakistan,Mohali,2007-11-08,ODI ,2007,0
475,63,106,77,8,0,81.81,4,caught,2,Pakistan,Guwahati,2007-11-05,ODI ,2007,0
476,9,11,5,0,1,180.0,5,not out,2, Australia,Brabourne,2007-10-20,T20I,2007,1
477,5,22,11,1,0,45.45,6,caught,2,Australia,Wankhede,2007-10-17,ODI ,2007,0
478,26,44,29,2,1,89.65,6,caught,2,Australia,Nagpur,2007-10-14,ODI ,2007,0
479,4,12,7,1,0,57.14,6,caught,1,Australia,Vadodara,2007-10-11,ODI ,2007,0
480,50,59,35,5,1,142.85,4,not out,1,Australia,Chandigarh,2007-10-08,ODI ,2007,1
481,33,49,37,4,0,89.18,6,caught,2,Australia,Hyderabad (Deccan),2007-10-05,ODI ,2007,0
482,58,134,88,2,2,65.9,6,caught,2,Australia,Kochi,2007-10-02,ODI ,2007,0
484,6,9,10,0,0,60.0,5,bowled,1, Pakistan,Johannesburg,2007-09-24,T20I,2007,0
485,36,21,18,4,1,200.0,5,run out,1, Australia,Durban,2007-09-22,T20I,2007,0
486,45,39,33,4,1,136.36,6,run out,1, South Africa,Durban,2007-09-20,T20I,2007,0
487,10,22,8,0,0,125.0,4,not out,1, England,Durban,2007-09-19,T20I,2007,1
488,24,31,20,2,0,120.0,4,run out,2, New Zealand,Johannesburg,2007-09-16,T20I,2007,0
489,33,46,31,3,1,106.45,6,caught,1, Pakistan,Durban,2007-09-14,T20I,2007,0
491,50,98,72,4,1,69.44,7,caught,1,England,Lord's,2007-09-08,ODI ,2007,0
492,35,50,37,3,0,94.59,6,bowled,2,England,The Oval,2007-09-05,ODI ,2007,0
493,24,60,17,3,0,141.17,5,caught,1,England,Leeds,2007-09-02,ODI ,2007,0
494,13,33,18,1,0,72.22,6,bowled,1,England,Manchester,2007-08-30,ODI ,2007,0
495,13,30,20,0,0,65.0,6,caught,2,England,Birmingham,2007-08-27,ODI ,2007,0
496,21,31,18,3,0,116.66,5,caught,1,England,Bristol,2007-08-24,ODI ,2007,0
497,19,76,60,1,0,31.66,6,caught,2,England,Southampton,2007-08-21,ODI ,2007,0
499,92,120,81,9,4,113.58,7,caught,1, England,The Oval,2007-08-09,Test,2007,0
500,36,79,64,4,0,56.25,7,caught,3, England,The Oval,2007-08-09,Test,2007,0
501,5,11,6,1,0,83.33,7,caught,2, England,Nottingham,2007-07-27,Test,2007,0
503,0,15,5,0,0,0.0,8,caught,2, England,Lord's,2007-07-19,Test,2007,0
504,76,203,159,10,0,47.79,7,not out,4, England,Lord's,2007-07-19,Test,2007,1
505,14,27,11,2,0,127.27,6,not out,2,South Africa,Belfast,2007-07-01,ODI ,2007,1
506,0,3,4,0,0,0.0,5,bowled,2,South Africa,Belfast,2007-06-29,ODI ,2007,0
507,139,144,97,15,5,143.29,7,not out,1,Africa XI,Chennai,2007-06-10,ODI ,2007,1
508,33,56,38,2,2,86.84,4,bowled,1,Africa XI,Chennai,2007-06-09,ODI ,2007,0
509,2,13,4,0,0,50.0,7,run out,1,Africa XI,Bengaluru,2007-06-06,ODI ,2007,0
510,51,61,50,3,4,102.0,6,not out,1, Bangladesh,Mirpur,2007-05-25,Test,2007,1
511,36,81,38,6,0,94.73,6,caught,1, Bangladesh,Chattogram,2007-05-18,Test,2007,0
512,17,28,17,1,1,100.0,6,not out,3, Bangladesh,Chattogram,2007-05-18,Test,2007,1
513,36,73,54,4,0,66.66,3,caught,1,Bangladesh,Mirpur,2007-05-12,ODI ,2007,0
514,91,182,106,7,0,85.84,3,not out,2,Bangladesh,Mirpur,2007-05-10,ODI ,2007,1
515,0,3,1,0,0,0.0,7,lbw,2,Sri Lanka,Port of Spain,2007-03-23,ODI ,2007,0
516,29,34,25,2,1,116.0,4,caught,1,Bermuda,Port of Spain,2007-03-19,ODI ,2007,0
517,0,5,3,0,0,0.0,7,caught,1,Bangladesh,Port of Spain,2007-03-17,ODI ,2007,0
519,67,91,74,4,0,90.54,6,not out,2,Sri Lanka,Margao,2007-02-14,ODI ,2007,1
520,48,95,68,1,0,70.58,6,caught,2,Sri Lanka,Rajkot,2007-02-11,ODI ,2007,0
522,40,31,20,1,3,200.0,5,not out,1,West Indies,Vadodara,2007-01-31,ODI ,2007,1
523,6,26,19,0,0,31.57,6,caught,1,West Indies,Cuttack,2007-01-24,ODI ,2007,0
524,62,56,42,3,4,147.61,4,not out,1,West Indies,Nagpur,2007-01-21,ODI ,2007,1
525,34,72,39,7,0,87.17,7,caught,2, South Africa,Durban,2006-12-26,Test,2006,0
526,47,106,67,10,0,70.14,7,caught,4, South Africa,Durban,2006-12-26,Test,2006,0
527,5,23,20,0,0,25.0,7,caught,1, South Africa,Johannesburg,2006-12-15,Test,2006,0
528,18,35,25,3,0,72.0,7,caught,3, South Africa,Johannesburg,2006-12-15,Test,2006,0
529,44,75,49,2,2,89.79,5,caught,1,South Africa,Centurion,2006-12-03,ODI ,2006,0
530,0,8,2,0,0,0.0,4,bowled,2, South Africa,Johannesburg,2006-12-01,T20I,2006,0
531,26,36,21,4,1,123.8,6,caught,2,South Africa,Gqeberha,2006-11-29,ODI ,2006,0
532,55,61,48,3,4,114.58,6,caught,2,South Africa,Cape Town,2006-11-26,ODI ,2006,0
533,14,32,27,3,0,51.85,5,caught,2,South Africa,Durban,2006-11-22,ODI ,2006,0
534,28,44,23,2,0,121.73,6,lbw,1,Australia,Mohali,2006-10-29,ODI ,2006,0
535,51,82,65,1,2,78.46,6,run out,1,West Indies,Ahmedabad,2006-10-26,ODI ,2006,0
536,7,37,22,0,0,31.81,6,caught,2,England,Jaipur,2006-10-15,ODI ,2006,0
537,23,34,34,0,1,67.64,7,caught,2,Australia,Kuala Lumpur,2006-09-22,ODI ,2006,0
538,18,20,13,4,0,138.46,6,bowled,1,West Indies,Kuala Lumpur,2006-09-20,ODI ,2006,0
540,2,7,10,0,0,20.0,5,bowled,1,West Indies,Kuala Lumpur,2006-09-14,ODI ,2006,0
542,3,12,4,0,0,75.0,7,caught,1, West Indies,Kingston,2006-06-30,Test,2006,0
543,19,58,39,4,0,48.71,7,bowled,3, West Indies,Kingston,2006-06-30,Test,2006,0
544,29,104,56,5,0,51.78,7,lbw,2, West Indies,Basseterre,2006-06-22,Test,2006,0
545,20,43,32,0,2,62.5,5,caught,4, West Indies,Basseterre,2006-06-22,Test,2006,0
546,9,42,34,0,0,26.47,7,caught,1, West Indies,Gros Islet,2006-06-10,Test,2006,0
547,19,34,27,2,0,70.37,7,caught,1, West Indies,St John's,2006-06-02,Test,2006,0
548,69,51,52,4,6,132.69,7,caught,3, West Indies,St John's,2006-06-02,Test,2006,0
549,14,0,19,2,0,73.68,3,bowled,2,West Indies,Port of Spain,2006-05-28,ODI ,2006,0
550,46,0,58,6,0,79.31,6,not out,1,West Indies,Port of Spain,2006-05-26,ODI ,2006,1
551,15,0,26,1,0,57.69,5,run out,1,West Indies,Basseterre,2006-05-23,ODI ,2006,0
552,2,9,7,0,0,28.57,7,bowled,2,West Indies,Kingston,2006-05-20,ODI ,2006,0
553,18,19,11,2,1,163.63,6,caught,2,West Indies,Kingston,2006-05-18,ODI ,2006,0
554,59,80,72,5,0,81.94,3,bowled,1,Pakistan,Abu Dhabi,2006-04-19,ODI ,2006,0
555,3,11,10,0,0,30.0,7,bowled,1,Pakistan,Abu Dhabi,2006-04-18,ODI ,2006,0
556,96,174,106,10,3,90.56,2,caught,1,England,Jamshedpur,2006-04-12,ODI ,2006,0
557,10,20,13,1,0,76.92,7,not out,2,England,Kochi,2006-04-06,ODI ,2006,1
558,13,11,6,1,1,216.66,7,not out,1,England,Margao,2006-04-03,ODI ,2006,1
559,38,99,55,2,0,69.09,7,bowled,2,England,Faridabad,2006-03-31,ODI ,2006,0
560,20,55,28,2,0,71.42,8,caught,1,England,Delhi,2006-03-28,ODI ,2006,0
561,64,206,118,10,0,54.23,6,run out,2, England,Wankhede,2006-03-18,Test,2006,0
562,5,24,11,0,0,45.45,8,caught,4, England,Wankhede,2006-03-18,Test,2006,0
563,16,35,22,3,0,72.72,6,caught,2, England,Mohali,2006-03-09,Test,2006,0
565,5,14,10,1,0,50.0,7,caught,2, England,Nagpur,2006-03-01,Test,2006,0
566,16,44,21,1,0,76.19,5,caught,4, England,Nagpur,2006-03-01,Test,2006,0
567,77,88,56,6,4,137.5,4,not out,2,Pakistan,Karachi,2006-02-19,ODI ,2006,1
568,2,23,5,0,0,40.0,7,not out,2,Pakistan,Multan,2006-02-16,ODI ,2006,1
569,72,60,46,13,0,156.52,7,not out,2,Pakistan,Lahore,2006-02-13,ODI ,2006,1
571,68,68,53,11,1,128.3,4,caught,1,Pakistan,Peshawar,2006-02-06,ODI ,2006,0
572,13,30,13,3,0,100.0,7,caught,2, Pakistan,Karachi,2006-01-29,Test,2006,0
573,18,42,35,4,0,51.42,7,caught,4, Pakistan,Karachi,2006-01-29,Test,2006,0
574,148,229,153,19,4,96.73,6,stumped,2, Pakistan,Faisalabad,2006-01-21,Test,2006,0
577,49,100,62,7,0,79.03,7,lbw,1, Sri Lanka,Ahmedabad,2005-12-18,Test,2005,0
578,14,26,20,1,0,70.0,7,lbw,3, Sri Lanka,Ahmedabad,2005-12-18,Test,2005,0
579,5,19,12,1,0,41.66,7,bowled,1, Sri Lanka,Delhi,2005-12-10,Test,2005,0
580,51,83,51,5,2,100.0,8,not out,3, Sri Lanka,Delhi,2005-12-10,Test,2005,1
581,30,83,54,6,0,55.55,7,caught,1, Sri Lanka,Chennai,2005-12-02,Test,2005,0
582,12,37,26,1,0,46.15,6,caught,2,South Africa,Wankhede,2005-11-28,ODI ,2005,0
583,14,41,26,0,0,53.84,8,caught,1,South Africa,Kolkata,2005-11-25,ODI ,2005,0
585,17,39,28,1,0,60.71,8,run out,1,South Africa,Hyderabad (Deccan),2005-11-16,ODI ,2005,0
586,80,106,73,9,3,109.58,4,caught,2,Sri Lanka,Vadodara,2005-11-12,ODI ,2005,0
588,0,1,1,0,0,0.0,3,lbw,1,Sri Lanka,Ahmedabad,2005-11-06,ODI ,2005,0
589,45,65,43,1,2,104.65,6,not out,2,Sri Lanka,Pune,2005-11-03,ODI ,2005,1
590,183,210,145,15,10,126.2,3,not out,2,Sri Lanka,Jaipur,2005-10-31,ODI ,2005,1
592,38,33,28,3,2,135.71,6,caught,1,Sri Lanka,Nagpur,2005-10-25,ODI ,2005,0
593,11,26,16,1,0,68.75,7,lbw,1,New Zealand,Harare,2005-09-06,ODI ,2005,0
594,67,90,63,1,3,106.34,7,not out,2,Zimbabwe,Harare,2005-09-04,ODI ,2005,1
595,37,0,27,3,2,137.03,6,not out,2,New Zealand,Harare,2005-09-02,ODI ,2005,1
596,56,0,46,2,4,121.73,6,caught,1,Zimbabwe,Harare,2005-08-29,ODI ,2005,0
597,2,13,5,0,0,40.0,7,caught,2,New Zealand,Bulawayo,2005-08-26,ODI ,2005,0
598,7,11,11,0,0,63.63,6,lbw,2,Sri Lanka,Colombo (RPS),2005-08-09,ODI ,2005,0
599,28,17,13,1,2,215.38,7,not out,1,West Indies,Colombo (RPS),2005-08-07,ODI ,2005,1
600,20,35,27,1,0,74.07,4,caught,1,Sri Lanka,Dambulla,2005-08-03,ODI ,2005,0
601,15,22,11,1,1,136.36,6,not out,2,West Indies,Dambulla,2005-07-31,ODI ,2005,1
602,2,17,7,0,0,28.57,2,bowled,1,Sri Lanka,Dambulla,2005-07-30,ODI ,2005,0
603,24,71,38,2,0,63.15,3,caught,2,Pakistan,Delhi,2005-04-17,ODI ,2005,0
604,11,20,16,1,0,68.75,3,caught,1,Pakistan,Kanpur,2005-04-15,ODI ,2005,0
605,47,90,64,4,1,73.43,3,caught,1,Pakistan,Ahmedabad,2005-04-12,ODI ,2005,0
606,28,36,24,5,0,116.66,3,caught,2,Pakistan,Jamshedpur,2005-04-09,ODI ,2005,0
607,148,155,123,15,4,120.32,3,caught,1,Pakistan,Visakhapatnam,2005-04-05,ODI ,2005,0
608,3,8,7,0,0,42.85,7,caught,1,Pakistan,Kochi,2005-04-02,ODI ,2005,0
609,7,2,2,0,1,350.0,7,not out,1,Bangladesh,Dhaka,2004-12-27,ODI ,2004,1
610,12,16,11,2,0,109.09,7,caught,2,Bangladesh,Dhaka,2004-12-26,ODI ,2004,0
611,0,1,1,0,0,0.0,7,run out,1,Bangladesh,Chattogram,2004-12-23,ODI ,2004,0
